ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
COG,32.769130361327,32.8675369296107,32.4061570517542,31.9635260105277,32.343756105343296,32.809975742388396,32.7433546913962,32.6738725291324,32.9730782119301,32.9969956515638,32.5379786547091,33.147147596398696,33.2405139349944,33.4279071163551,33.6442800049687,33.857013656392496,33.565450967529394,33.7788566949057,34.163651095409605,34.836197019751204,34.8999264866693,34.9561473683288,34.6843964193471
COD,26.352647716472898,26.3915557074025,26.0180648558949,26.069864238702998,26.0215820972964,26.044920701244603,25.9050785506347,25.892159059184102,25.4857765858904,25.5661509155207,25.738054391781898,25.639456293572998,25.894221879242203,25.802870527241996,26.0188551255923,26.216809244526,26.871482934619998,26.882344142701,26.901936725915103,27.588942168908602,29.2171753252925,29.5298776755102,29.609735377203396
CRI,47.6821090453357,47.753532329008294,48.3004434559611,48.620912690145204,48.6276753713782,48.6623267153997,48.259828989735205,48.4440296033473,48.480347337435205,48.2903598749833,48.7065567028478,48.7021412153365,49.05852338903689,49.6083036037601,50.1176840275824,50.740519914476,50.6363109393454,51.275211624800605,52.022156354836206,52.6433661491259,52.893114329824705,53.7140739664693,53.5223234594797
CIV,36.567229909888795,36.4490920159062,36.2178424667471,35.9432521790539,35.1289578909199,34.269339064967,34.050178876663,33.7056064856786,33.164179182134106,32.7588219506545,32.8066271016095,33.0229592153187,33.1748523276881,33.0031595344364,33.4354888494442,33.0827019252277,33.245588624552,34.2113265789072,35.0296765133894,36.8511283756314,37.833015167021706,37.928520251331,37.853045145639
HRV,49.35135750378839,49.4282156514256,49.6542427827871,50.0156608064037,50.63133656744021,51.3985002854306,52.11150866205279,52.6114759036697,53.40043363685621,53.7979736617585,53.5499721470436,53.3168229252947,53.79870705851621,54.177911460109996,54.1582956890625,54.804983713191994,54.993407388034704,55.25755805827821,55.5511748385083,55.9923158138057,55.84951660705671,56.0600765831485,56.0252344337935
CUB,41.3361056979764,41.2409663205742,41.0922548926726,40.9969542425035,41.7328477345016,42.0894901030765,42.3017658904763,42.5011773099441,42.518485706432294,43.989345729868795,45.1243955996054,47.09660919679111,48.3782279302568,49.1174372559836,48.72151416638061,47.476890592025,46.513460071884204,45.5027077976143,44.4745169259196,44.5185592543861,44.7302525801612,45.2441412399893,45.4655425388779
CYP,53.8794360819984,54.035803859003295,54.0737735373499,54.058083493942604,54.2658884682779,54.4491291866529,54.605615619769104,54.9227701785983,55.6024028176159,55.3333659781573,55.5690949472155,55.9090382433974,56.008300720097196,57.1127552488552,57.2273421889492,57.185803662701396,56.9725614233951,57.925153254622,57.7454656734371,57.97910119765079,58.0785809168157,57.9150058348841,58.03871763842871
CZE,58.93391547655911,59.00055700467011,58.855700128067,58.8563785677289,58.370273673274,57.985136274346,58.8155499197063,59.60079606293,59.98513272792189,59.87484515067,60.324363122791006,60.9976824102661,61.2787321907879,61.611749469136896,61.142128498382704,61.43560898376921,62.058441436313494,62.04078836313501,62.55334715250171,63.3498642612619,63.7092850568293,63.3354813701513,63.6534122369238
DNK,68.5821467584791,68.6795954607895,69.2310141334997,69.258194829817,69.83686902373,70.3812277164748,70.67945702016041,71.05980662038169,71.115718938242,71.43922436223549,71.4569701346348,71.5051945321092,71.6728186071777,71.42382227293109,71.0509939073625,70.7381918101029,71.1708169795116,71.13014642531259,71.0677887116869,70.9954376349121,70.9230042343583,70.68304743126491,70.6297780646677
DJI,36.740148137412795,36.8268819997734,36.5157040885355,36.2923639460445,36.5475246639221,36.8088429919139,36.91905271379879,36.9051824989525,37.2723402803139,38.0920571349133,37.1321623293834,37.18797611711771,37.5654961985773,38.0215453584228,38.5108894099576,38.4026643162039,38.3243802432818,38.30363744875321,37.691821722905296,38.130615119964,38.5110122059659,38.3945087473987,38.9246715107206
DMA,60.123530165836,59.7306307723026,58.960226476753505,58.55682757440211,58.397610837360496,58.129111600675,58.6482598886057,59.191198555184606,59.710448852107895,59.6730308522723,60.0104668515242,59.997603738836496,59.1618165495094,59.6380589170101,59.1090591660884,59.057858268688896,58.72791804513229,58.2080168769401,58.5764675951219,56.9950447995508,56.9908701299086,56.6299665327129,56.6879025802206
DOM,42.6563401831416,42.6852029809842,42.4896004109614,42.361144585704295,42.6564176482887,42.861176196258796,43.2742036463835,43.246578513034294,42.3904065626877,42.680370184701296,43.1302582269437,43.4493334208754,43.93843019335521,44.673367399330104,45.84687009790179,46.457242213479205,46.41959935097879,46.649287939286204,46.690526575807,46.7889496135706,46.99694818652221,47.295293229314794,47.41471678677179
ECU,41.4568779751631,41.2864791806615,41.411186943176496,41.5833703325633,40.9354204706711,40.7296847626665,40.6168323727366,40.5451690592505,41.0456907670952,41.7236029950947,41.87561831876489,41.8356211554697,41.870760947018496,42.1475555273298,42.3264309562065,42.7444342472094,43.1089658331328,43.348488299950105,43.5493935009334,43.70623541310329,43.910640398287,44.4800458744294,44.665003938371804
EGY,43.2009416652858,43.214814398109105,43.2218876232646,43.3382301842486,43.4120259449135,43.4395805372402,43.334145392402704,43.3902956725136,43.0158226051782,42.9700722985108,43.3827450506437,43.38858262654801,43.9132595828765,44.984224971005105,45.6653503549897,46.4648485468756,45.834062341853894,45.996754669762204,45.594035258119,45.412570452184106,45.772279394414205,45.9439153183385,46.1403094708298
SLV,40.4881435734553,40.3696690221336,40.7418845311537,41.0751205705819,41.508779693155496,41.8763285071568,41.83315569039,41.996638328292896,42.154563122651794,42.9777402032567,42.790938767515,43.665604539232596,43.7949682971101,44.0553274916628,44.330360009781295,44.636131903602,45.601799238914204,45.57334041687321,45.5585399321583,45.6494545420712,45.156052841050204,45.364279158021,44.9652818660487
GNQ,36.7474922975018,36.8924335750256,36.4843325884175,35.5567336044947,35.4633150804437,36.1178701303184,35.948957933823294,35.8245983512351,37.1888038756858,37.1102290581186,37.066978636345404,37.5499432588691,37.6781216636651,37.684966688028396,37.772683176182,37.8694087547002,37.59897182572271,37.6242620836054,37.296648514615605,36.682434689933,36.543178899135704,36.252255342689296,36.2581912560167
ERI,29.143476241918503,28.947728580651898,30.290197994955395,30.125185240481898,29.780607129677,29.5792357602181,29.316296965167,29.202717050886502,28.3293554726793,28.0334732497306,27.713266615443803,27.479416866635102,27.0303107771388,27.077140421627004,26.8129736865659,26.519139050923,26.565543851023502,26.771691182559298,26.279623092507897,26.5209752722004,26.108566372686,26.1267284905094,26.269203821213605
EST,57.460854983424994,57.84756062114779,58.0208062795369,57.8625587837601,57.9905755074064,58.715736147081394,59.065594699128,59.503854133652894,59.6969123968705,60.0594661903264,60.30054749147239,61.1406873727588,61.3222657178179,61.7031089553804,62.089170574381505,62.223993687181796,62.142383080150395,61.513358392805,61.8536090248785,62.9423852039165,62.5986274633185,62.42325347263021,62.3764904375579
ETH,31.5612128547562,31.761549219533897,32.3731317628369,33.1889798570586,33.213466244428,33.298818245560796,32.9660520889014,33.486779718429396,33.078640549325,33.109259285631104,32.9102380954984,33.440006221304195,33.5757127661019,33.564556101722104,33.513298554428104,33.823406365462,33.7150206246608,34.3978550672105,34.4080591540365,35.0987129893202,35.06945149726,35.0399838014401,35.0389527416314
FJI,48.324984168517,48.5979088849026,48.494121978455404,48.2845642962183,47.2439567973996,46.6059018663327,47.12112608064711,47.8521373207596,48.1240257779803,47.988621185247,48.336427947393595,49.5606964084523,49.4866115721565,49.1153309714637,48.1226142088484,48.0766118467379,48.705844306310794,48.3842118901117,47.8151265320888,48.31009637297149,48.271887038662605,48.492771684122296,48.774047008091
FIN,71.13787272812971,71.22635773461501,71.5140788547017,71.920738108023,72.21843239967859,72.33754809970779,72.5238208586808,72.783955127771,72.88385220286679,72.8550524846584,72.8873503372068,73.0259246016296,72.99752749115329,73.0766058448972,72.8773934283664,72.87774346789229,72.983317719287,73.0339566794946,72.75933474678659,72.5827465744867,72.0577876853652,71.9385300643689,71.95114157180541
FRA,63.842603718398294,64.04895179318889,64.0939647308613,64.0557936924233,64.33834262629621,64.4742015578927,64.4145514100175,64.3662043924776,64.3749349630242,64.8342494069734,65.5096550762029,65.97108011034061,66.7024999937356,66.8087406382774,66.6692303059785,67.1724894815725,66.9961716963363,66.6144472376815,66.2677468081551,66.7485313541091,66.6132967492832,66.4598054413284,66.6391365272414
GAB,41.541662504002296,41.817324043507,42.1990472356741,42.5614496413009,42.7637426192612,43.057130983265196,43.145489027817796,43.3062010106594,43.1873824171113,42.8999101949574,43.3878305691971,42.7543943233727,42.4076663115121,42.110671366514296,41.9222879920124,42.3527950315024,42.5887370176966,43.0379716336918,42.837483062284605,43.0151421169481,42.849459486746504,42.4374691453013,42.3529822115855
